# TensorLUT M4 cold-start
# netlist=enigma_m4_netlist.json
# LUTs=925 DFFs=49 inits=59200
# crib_pt=TEST crib_ct=YCPY grundstellung=AAA (L=0 M=0 R=0)
# pop=12 explore=250 squeeze=500 lambdaMax=10.0 seed=2119188496
# phase gen bestCrypto bestFitness lambda nonBinary
squeeze 467 -4.271338 -4520.502930 1.3772 18933
squeeze 468 -3.881253 -4567.395508 1.3938 18929
squeeze 469 -6.443679 -4595.333496 1.4104 18901
squeeze 470 -6.475886 -4641.911621 1.4272 18892
squeeze 471 -5.783088 -4696.204590 1.4440 18892
squeeze 472 -6.562268 -4739.479980 1.4609 18877
squeeze 473 -6.374599 -4786.067871 1.4780 18858
squeeze 474 -6.585176 -4831.887207 1.4951 18844
squeeze 475 -6.547736 -4878.351074 1.5123 18833
squeeze 476 -6.840321 -4923.216309 1.5297 18805
squeeze 477 -7.332939 -4973.511230 1.5471 18794
squeeze 478 -6.526298 -5021.137207 1.5646 18788
squeeze 479 -6.761297 -5074.290527 1.5823 18770
squeeze 480 -6.123919 -5118.022949 1.6000 18739
squeeze 481 -7.624015 -5171.050781 1.6178 18740
squeeze 482 -6.462924 -5220.400391 1.6358 18687
squeeze 483 -6.483349 -5270.799805 1.6538 18710
squeeze 484 -5.426188 -5317.870605 1.6719 18690
squeeze 485 -5.866433 -5366.833496 1.6901 18664
squeeze 486 -6.193300 -5421.662109 1.7084 18686
squeeze 487 -8.472478 -5469.723145 1.7269 18665
squeeze 488 -6.627928 -5515.324707 1.7454 18598
squeeze 489 -6.240483 -5564.625000 1.7640 18595
squeeze 490 -6.233771 -5613.853516 1.7827 18564
squeeze 491 -6.213528 -5663.009766 1.8015 18538
squeeze 492 -5.948718 -5713.816895 1.8204 18523
squeeze 493 -6.132608 -5757.023438 1.8395 18505
squeeze 494 -5.970333 -5812.280273 1.8586 18501
squeeze 495 -6.568309 -5867.845215 1.8778 18482
squeeze 496 -6.064371 -5922.965332 1.8971 18433
squeeze 497 -6.143395 -5969.329590 1.9165 18464
squeeze 498 -6.040359 -6013.383789 1.9360 18436
squeeze 499 -5.993105 -6066.176758 1.9556 18407
squeeze 500 -6.612053 -6123.967773 1.9753 18423
squeeze 501 -6.403425 -6168.693848 1.9951 18366
squeeze 502 -7.730843 -6216.616211 2.0150 18347
squeeze 503 -6.877635 -6273.000488 2.0350 18346
squeeze 504 -8.429770 -6326.488281 2.0551 18346
squeeze 505 -6.875396 -6376.224609 2.0753 18316
